crop,state,season,year,area,production,yield,area_mha,production_mt,data_quality_flag,crop_category
Maize,Tamil Nadu,Kharif,2020-21,225650.0,1641829.4,7276.0,0.22565,1.6418294,GOOD,food_grains
Maize,Tamil Nadu,Rabi,2020-21,174560.0,922898.72,5287.0,0.17456,0.92289872,GOOD,food_grains
Maize,Telangana,Kharif,2020-21,86000.0,399556.0,4646.0,0.086,0.399556,GOOD,food_grains
Maize,Telangana,Rabi,2020-21,173000.0,1357012.0,7844.0,0.173,1.357012,GOOD,food_grains
Maize,Tripura,Kharif,2020-21,14420.0,24398.64,1692.0,0.01442,0.02439864,GOOD,food_grains
Maize,Tripura,Rabi,2020-21,7364.0,18343.72,2491.0,0.007364,0.01834372,GOOD,food_grains
Maize,Uttar Pradesh,Kharif,2020-21,709000.0,1637081.0,2309.0,0.709,1.637081,GOOD,food_grains
Maize,Uttar Pradesh,Rabi,2020-21,64000.0,181000.0,2828.0,0.064,0.181,GOOD,food_grains
Maize,Uttarakhand,Kharif,2020-21,20000.0,41480.0,2074.0,0.02,0.04148,GOOD,food_grains
Maize,Uttarakhand,Rabi,2020-21,0.0,0.0,0.0,0.0,0.0,ZERO_PRODUCTION,food_grains
Maize,West Bengal,Kharif,2020-21,52058.0,163045.66,3132.0,0.052058,0.16304566,GOOD,food_grains
Maize,West Bengal,Rabi,2020-21,308752.0,2273032.22,7362.0,0.308752,2.27303222,GOOD,food_grains
Barley,Arunachal Pradesh,Rabi,2020-21,15.0,15.0,1000.0,1.5e-05,1.5e-05,GOOD,food_grains
Barley,Bihar,Rabi,2020-21,7559.0,14384.78,1903.0,0.007559,0.01438478,GOOD,food_grains
Barley,Chhattisgarh,Rabi,2020-21,1430.0,992.42,694.0,0.00143,0.00099242,GOOD,food_grains
Barley,Delhi,Rabi,2020-21,50.0,150.0,3000.0,5e-05,0.00015,GOOD,food_grains
Barley,Haryana,Rabi,2020-21,9260.0,30956.18,3343.0,0.00926,0.03095618,GOOD,food_grains
Barley,Himachal Pradesh,Rabi,2020-21,20430.0,32136.39,1573.0,0.02043,0.03213639,GOOD,food_grains
Barley,Jammu And Kashmir,Rabi,2020-21,3988.0,2297.09,576.0,0.003988,0.0022970900000000003,GOOD,food_grains
Barley,Ladakh,Rabi,2020-21,5982.0,3690.89,617.0,0.005982,0.00369089,GOOD,food_grains
Barley,Madhya Pradesh,Rabi,2020-21,25000.0,47975.0,1919.0,0.025,0.047975,GOOD,food_grains
Barley,Maharashtra,Rabi,2020-21,62950.0,48093.8,764.0,0.06295,0.048093800000000006,GOOD,food_grains
Barley,Nagaland,Rabi,2020-21,560.0,580.16,1036.0,0.00056,0.0005801599999999999,GOOD,food_grains
Barley,Punjab,Rabi,2020-21,5900.0,22284.3,3777.0,0.0059,0.0222843,GOOD,food_grains
Barley,Rajasthan,Rabi,2020-21,269747.0,935745.06,3469.0,0.269747,0.93574506,GOOD,food_grains
Barley,Sikkim,Rabi,2020-21,346.0,404.13,1168.0,0.000346,0.00040413,GOOD,food_grains
Barley,Uttar Pradesh,Rabi,2020-21,157000.0,488113.0,3109.0,0.157,0.488113,GOOD,food_grains
Barley,Uttarakhand,Rabi,2020-21,22000.0,27984.0,1272.0,0.022,0.027984,GOOD,food_grains
Barley,West Bengal,Rabi,2020-21,251.0,536.89,2139.0,0.000251,0.0005368899999999999,GOOD,food_grains
Jowar,Andhra Pradesh,Kharif,2020-21,3000.0,3996.0,1332.0,0.003,0.003996,GOOD,food_grains
Jowar,Andhra Pradesh,Rabi,2020-21,117000.0,407394.0,3482.0,0.117,0.407394,GOOD,food_grains
Jowar,Bihar,Kharif,2020-21,1225.0,1307.08,1067.0,0.001225,0.00130708,GOOD,food_grains
Jowar,Chhattisgarh,Kharif,2020-21,2060.0,2731.56,1326.0,0.00206,0.00273156,GOOD,food_grains
Jowar,Dadra And Nagar Haveli,Kharif,2020-21,0.0,0.0,0.0,0.0,0.0,ZERO_PRODUCTION,food_grains
Jowar,Delhi,Kharif,2020-21,2950.0,2811.35,953.0,0.00295,0.00281135,GOOD,food_grains
Jowar,Gujarat,Kharif,2020-21,26460.0,39372.48,1488.0,0.02646,0.03937248,GOOD,food_grains
Jowar,Gujarat,Rabi,2020-21,14610.0,18057.96,1236.0,0.01461,0.018057959999999998,GOOD,food_grains
Jowar,Haryana,Kharif,2020-21,31280.0,16422.0,525.0,0.03128,0.016422,GOOD,food_grains
Jowar,Himachal Pradesh,Kharif,2020-21,23.0,10.01,435.0,2.3e-05,1.0009999999999999e-05,GOOD,food_grains
Jowar,Jammu And Kashmir,Kharif,2020-21,0.0,0.0,0.0,0.0,0.0,ZERO_PRODUCTION,food_grains
Jowar,Jharkhand,Kharif,2020-21,1874.0,1234.97,659.0,0.001874,0.00123497,GOOD,food_grains
Jowar,Karnataka,Kharif,2020-21,88000.0,176528.0,2006.0,0.088,0.176528,GOOD,food_grains
Jowar,Karnataka,Rabi,2020-21,662000.0,727000.0,1098.0,0.662,0.727,GOOD,food_grains
Jowar,Kerala,Kharif,2020-21,42.0,34.99,833.0,4.2e-05,3.499e-05,GOOD,food_grains
Jowar,Kerala,Rabi,2020-21,189.0,168.97,894.0,0.000189,0.00016897,GOOD,food_grains
Jowar,Madhya Pradesh,Kharif,2020-21,112000.0,217000.0,1938.0,0.112,0.217,GOOD,food_grains
Jowar,Madhya Pradesh,Rabi,2020-21,0.0,0.0,0.0,0.0,0.0,ZERO_PRODUCTION,food_grains
Jowar,Maharashtra,Kharif,2020-21,378700.0,381350.9,1007.0,0.3787,0.38135090000000005,GOOD,food_grains
Jowar,Maharashtra,Rabi,2020-21,1700200.0,1365260.6,803.0,1.7002,1.3652606,GOOD,food_grains
Jowar,Nagaland,Kharif,2020-21,280.0,269.92,964.0,0.00028,0.00026992,GOOD,food_grains
Jowar,Odisha,Kharif,2020-21,5500.0,3470.5,631.0,0.0055,0.0034705,GOOD,food_grains
Jowar,Rajasthan,Kharif,2020-21,559686.0,589909.04,1054.0,0.559686,0.58990904,GOOD,food_grains
Jowar,Rajasthan,Rabi,2020-21,0.0,0.0,0.0,0.0,0.0,ZERO_PRODUCTION,food_grains
Jowar,Tamil Nadu,Kharif,2020-21,211800.0,240181.2,1134.0,0.2118,0.2401812,GOOD,food_grains
Jowar,Tamil Nadu,Rabi,2020-21,193620.0,187036.92,966.0,0.19362,0.18703692000000002,GOOD,food_grains
Jowar,Telangana,Kharif,2020-21,43000.0,34873.0,811.0,0.043,0.034873,GOOD,food_grains
Jowar,Telangana,Rabi,2020-21,48000.0,120816.0,2517.0,0.048,0.120816,GOOD,food_grains
Jowar,Tripura,Kharif,2020-21,189.0,161.03,852.0,0.000189,0.00016103,GOOD,food_grains
Jowar,Tripura,Rabi,2020-21,0.0,0.0,0.0,0.0,0.0,ZERO_PRODUCTION,food_grains
Jowar,Uttar Pradesh,Kharif,2020-21,174000.0,274572.0,1578.0,0.174,0.274572,GOOD,food_grains
Jowar,West Bengal,Kharif,2020-21,186.0,100.07,538.0,0.000186,0.00010007,GOOD,food_grains
Bajra,Andhra Pradesh,Kharif,2020-21,31000.0,70711.0,2281.0,0.031,0.070711,GOOD,food_grains
Bajra,Bihar,Kharif,2020-21,4219.0,4784.35,1134.0,0.004219,0.004784350000000001,GOOD,food_grains
Bajra,Chhattisgarh,Kharif,2020-21,40.0,20.6,515.0,4e-05,2.0600000000000003e-05,GOOD,food_grains
Bajra,Daman And Diu,Kharif,2020-21,496.0,748.46,1509.0,0.000496,0.00074846,GOOD,food_grains
Bajra,Delhi,Kharif,2020-21,1325.0,5339.75,4030.0,0.001325,0.00533975,GOOD,food_grains
Bajra,Gujarat,Kharif,2020-21,460260.0,1008889.92,2192.0,0.46026,1.00888992,GOOD,food_grains
Bajra,Haryana,Kharif,2020-21,569200.0,1350142.4,2372.0,0.5692,1.3501424,GOOD,food_grains
Bajra,Himachal Pradesh,Kharif,2020-21,523.0,291.31,557.0,0.000523,0.00029131000000000003,GOOD,food_grains
